Feature,3300044942_P34SSC2_190917_f,3300044943_P34SSC2_190917_i,3300044944_P34SSC2_190917_c,3300044945_P34SSC2_191111_f,3300045458_P15SSC1_190915_i,3300045459_P15SSC1_191107_f,3300045460_P15SSC1_191107_i,3300045461_P24SSC2_190915_c,3300045462_P24SSC2_190915_f,3300045463_P24SSC2_190915_i,3300045464_P24SSC2_191109_c,3300045465_P24SSC2_191109_i,3300045466_P26SSC2_190918_c,3300045467_P26SSC2_190918_f,3300045468_P26SSC2_190918_i,3300045469_P26SSC2_191112_c,3300045470_P26SSC2_191112_f,3300045471_P35SSC1_191108_f,3300045472_P35SSC1_191108_i,3300045473_P26SSC2_191112_i,3300046191_P34SSC2_191111_c,3300048051_P15SSCI_191107_c,3300048052_P35SSC1_190914_c,3300048053_P35SSC1_190914_i,3300048054_P35SSC1_191108_c,3300048092_P11SSC1_190916_c,3300048093_P11SSC1_190916_f,3300048094_P11SSC1_190916_i,3300048095_P11SSC1_191119_f,3300048096_P11SSC1_191119_i,3300048099_P15SSC1_190912_c,3300048100_P15SSC1_190913_f
KO:K00073,11,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0
KO:K00074,979,394,119,102,343,171,183,107,285,387,548,193,33,215,13,87,162,300,232,268,44,0,4,27,0,214,610,553,249,344,171,495
KO:K00075,76,44,22,0,79,8,16,33,122,23,27,8,0,49,36,3,35,12,83,41,8,86,0,0,0,118,96,99,50,33,108,107
KO:K00076,0,0,0,5,0,0,0,0,7,0,0,0,0,7,0,10,0,0,6,0,0,0,0,0,0,6,15,16,0,28,0,6
KO:K00077,397,200,69,16,117,24,0,50,159,210,89,16,85,126,0,71,117,107,197,110,75,0,0,12,20,263,320,292,192,156,137,294
KO:K00079,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00082,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
KO:K00086,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,10,0,0,0,0,0,18,5,5,5,0,0
KO:K00087,202,105,71,17,120,0,18,5520,54,165,0,29,28,107,0,43,100,71,18,49,21,0,0,3,3,110,230,130,78,34,122,176
KO:K00088,3307,1312,393,454,1278,497,331,361,7963,1300,1225,697,369,905,122,376,854,1001,788,9975,370,175,8,97,24,741,1638,1088,964,840,646,1527
KO:K00090,20,0,6,0,16,0,0,12,26,12,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,7,23
KO:K00091,35,3,11,23,86,0,0,7,80,18,0,17,14,9,0,6,14,13,78,43,52,153,0,0,0,38,37,28,2218,45,6,22
KO:K00096,15,0,10,0,11,173,0,0,0,0,66,0,0,6,0,19,4,0,7,10,0,0,0,0,0,0,0,0,12,37,0,0
KO:K00097,275,59,20,6,94,0,0,10,94,111,52,19,16,65,0,21,43,238,139,43,7,72,0,15,0,97,100,108,123,44,33,99
KO:K00098,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,16,0,0,0,0,0,0,0,0,0,5,0,0,0,18
